Translator|翻译器
yourregionname-name|[区域] 模板区域
yourregionname-description|一个区域模组模板，已设置好一个起始房间。
auroscug.DMStechnique.resource-name|[DMS] DMS模板与技巧
auroscug.DMStechnique.resource-description|一份关于雨世界像素画所有特性的便捷指南！包含模板、视觉指南及更多内容。
AwriLynn.Remix_Menu_Template_examples-name|[菜单] 混音菜单模板示例
AwriLynn.Remix_Menu_Template_examples-description|混音菜单模板示例只是一个菜单模组，旨在帮助模组制作者制作自己的混音菜单，通过使用dnSpy查看模组代码或从维基/社区下载。尝试菜单小部件，然后从代码中提取你需要的部分，确保它们能正常工作。源代码在创意工坊模组文件夹中（订阅的模组下载位置），还有选项卡2 :eyes:？
Tuanzi.ResolutionTweak-name|[体验优化] 分辨率调整
Tuanzi.ResolutionTweak-description|使雨世界支持自定义分辨率，如1080p、2k，并可调整清晰度以减少模糊感和像素非整数缩放造成的扭曲感，可自行配置。<LINE>目前只保证在16:9分辨率下正常工作，理论上Linux平台也可使用，但作者未测试过。<LINE>重要：与其他分辨率模组很可能冲突，导致黑屏等严重后果，如Sharpener。
enderpearlmod-name|[物品] 末影珍珠模组
enderpearlmod-description|向雨世界添加了可投掷的末影珍珠，灵感来自《我的世界》。<LINE><LINE>自然生成于世界中或由拾荒者携带，这种深紫色珍珠可以像石头一样捡起和投掷。当它击中地形时，投掷它的蛞蝓猫会立即传送到撞击点。<LINE><LINE>功能：<LINE>• 可配置的生成率（默认约3%）<LINE>• 程序化渲染的末影珍珠精灵<LINE>• 防止撞墙的安全传送<LINE>• 粒子和音效<LINE>• 与拾荒者整合<LINE>• 适用于所有战役和游戏模式
jhokey.updownupupdown-name|[游戏机制] 上，下，上上下下！
jhokey.updownupupdown-description|通过可自定义的按键在游戏中切换反重力。<LINE><LINE>主要功能：<LINE>- 3种目标模式：仅蛞蝓猫 / 所有实体 / 除蛞蝓猫外的所有实体<LINE>- 每玩家切换：选择受影响的特定玩家（P1-P4）<LINE>- 在混音菜单中自定义向上的力量强度<LINE>- 像无限投掷一样，反重力在雨草原中会自动禁用，以防止潜在问题。
com.tolian.galeforcewind-name|[游戏机制] 强风
com.tolian.galeforcewind-description|在开阔天空房间（天空群岛、烟囱顶棚）中的动态风（强风）。定期改变全局风向矢量，推动轻量物品（垃圾、信号弹）并改变投掷长矛在空中的轨迹。
xuanzebufeng.Endurance-name|[游戏模式] 坚持到底
xuanzebufeng.Endurance-description|在日益危险的10波攻击中生存。击败所有生物或坚持到时间结束即可前进。
euruscrow-ai-name|[依赖项] 欧若斯乌鸦·AI连接器
euruscrow-ai-description|为可独立游玩的离线欧若斯乌鸦同伴提供可配置角色名称的可选远程角色AI连接器。
euruscrow-name|[生物] 欧若斯乌鸦？
euruscrow-description|离线欧若斯乌鸦同伴，具有骑乘、持续饥饿驱动的能力计时器、自动凤凰救援、烟花礼物和无限长矛物品栏。？
hugyourfriends-name|[游戏机制] 拥抱你的朋友
hugyourfriends-description|拥抱同意的玩家、蛞蝓幼崽、友好的蜥蜴、仰望之月和五卵石。
zamtreon.smorterpups-name|[无障碍] 幼崽寻路补丁
zamtreon.smorterpups-description|通过填补蛞蝓幼崽寻路中的一些空白，使其能够在普通生物能生存的环境中茁壮成长。
DragonSlayer.SlowMode-name|[无障碍] 慢动作模式
DragonSlayer.SlowMode-description|按住鼠标右键或手柄扳机键，即可在按住期间激活蘑菇慢动作。手柄可能需要一些调整，我无法测试，因为我没有手柄。LOL
harvie.catpunchpunch-name|[游戏机制,战斗] 猫猫拳拳
harvie.catpunchpunch-description|出拳！
CowBoySLug.ShanKa-name|[Slugcat] 牛仔蛞蝓猫
CowBoySLug.ShanKa-description|添加新蛞蝓猫，牛仔蛞蝓猫。<LINE>只需按[拾取]来拖动你的长矛。<LINE>如果你想让长矛更快返回，使用[上]+[拾取]<LINE>只需点击一次，你就可以用长矛伤害其他生物。<LINE>当你的长矛卡在某处时，按住[跳跃]+[拾取]向该方向移动。<LINE><LINE>当你造成大量伤害后，你可以用生物投掷物制作帽子，然后用你的头接住来戴上帽子。<LINE><LINE>当你戴上帽子后，你可以使用绳索技能。
Lvye_AnotherNameForMods-name|[翻译] 模组信息手动覆写器
Lvye_AnotherNameForMods-description|目前版本只支持添加中文翻译！<LINE>你可使用此模组手动为没有中文翻译的模组添加你自己翻译的中文。<LINE>（或者是你理解的……啊管他，注释你自己能看懂就够了！）<LINE>现在可以让整个模组列表的模组全部都是中文了！<LINE>养眼！舒服！前提是你足够耐心给那几百个模组都手动翻译一遍！<LINE>只是移除此模组就可使所有添加的修改失效。<LINE>（实际上也可以覆盖已有中文翻译信息的翻译文本。）
overseerfix-name|[无障碍] 更好的小黄
overseerfix-description|通过轻微调整雨世界引导流程中的参数来改进小黄（监视者）的响应能力，以修复丢失的导航调用。不会篡改引导出现的概率，因为游戏在你迷路时会包含自己的“forcedDirectionToGive”字段。此模组使引导更可靠，而不是更频繁。还包括一个绑定按键来立即召唤生物到屏幕上，但这违背了游戏的核心设计:(。
futility-name|[依赖项] FUtility
futility-description|为游戏精灵引擎Futile提供的工具库。本身不执行任何操作。
fetchlizard-name|[游戏机制] 蜥蜴拾取者
fetchlizard-description|允许驯服的蜥蜴为你拾取食物。它们不会拾取活猎物或作为礼物给予的食物。
Kridi8606.TwoFriends-name|[游戏机制] 两个朋友
Kridi8606.TwoFriends-description|添加两只驯服的蜥蜴，即使在它们死后也不会离开你。
JollyReviveFix-name|[游戏机制] 欢乐复活修复
JollyReviveFix-description|对欢乐合作中复活时的小型修复，包括新的复活动画。
VioVayo.SoundTest-name|[工具] 音效测试
VioVayo.SoundTest-description|从主菜单播放音效。
Sampy.PassagePerks-name|[游戏机制] 通行证增益
Sampy.PassagePerks-description|通过完成通行证来获得增益！<LINE>通行证不再闲置等待使用。<LINE><LINE>为挣扎模组用户提供的额外增益。（所有用户可在混音菜单中切换开关。）
toast6631.dripping.creatures-name|[物品] 灰色苔藓模组
toast6631.dripping.creatures-description|添加一种可食用的物品，可用于其他模组。
zigzoo3.Striders-name|[生物] 漫步者
zigzoo3.Striders-description|添加漫步者，一种高大的生物机械生物。它应该生成在海岸线，但实际上没有。你可能需要安装野兽大师模组来生成它们。
oneofscavs.gardens-name|[生物,观望者] 拾荒者花园
oneofscavs.gardens-description|为观望者1.5的世界添加拾荒者相关改动。
yourname.millipede-name|[生物] 马陆
yourname.millipede-description|将未使用的马陆变成一个真正的敌人。
Emberlizard-name|[生物] 余烬蜥蜴
Emberlizard-description|展现余烬蜥蜴的全部荣耀。
cloudtailmod-name|[Slugcat] 觅食者
cloudtailmod-description|作为饕餮的后裔——觅食者，探索这片冰封的废土！
SUGW_cflk-name|[区域] 更多区域业力门
SUGW_cflk-description|随意添加了更多区域业力门。
hb.tamedlizardchat-name|[体验优化] 驯服蜥蜴聊天
hb.tamedlizardchat-description|让驯服的蜥蜴说话。对话内容会根据它们的个性而变化。<LINE>它没有任何特殊功能，但很可爱。
WetandHot-name|[游戏机制] 湿热
WetandHot-description|这是一个为物体和生物提供高温和湿度效果的模组。
immersivehibernationsounds-name|[体验优化] 沉浸式冬眠音效
immersivehibernationsounds-description|根据避难所的位置使冬眠界面的环境音效变得动态。
visibleshrooms-name|[无障碍] 可见的恶臭林地蘑菇
visibleshrooms-description|使恶臭林地中隐形的蘑菇变得可见。
hb.slayerpups-name|[游戏机制] 幼崽：拾荒者杀手
hb.slayerpups-description|当你的拾荒者声望低于一定水平时，你驯服的幼崽将始终对拾荒者保持敌意。<LINE><LINE>注意：如果蛞蝓幼崽捡起了炸弹，请立即夺走。孩子们并不完全理解炸弹的危险性。
damoonlord.Splash-name|[外观] 启动标语
damoonlord.Splash-description|添加各种启动标语来点缀你的菜单！<LINE>你可以通过模组文件夹中的Splash.txt文件添加自己的标语。
tpd1864blake.vanillaintros-name|[外观] 继续使用原版开场
tpd1864blake.vanillaintros-description|在启动时欣赏原版三人组的自定义艺术。现在包含模组蛞蝓猫支持！应与未来更新完全兼容。
shrub.watcherregionart-name|[外观,观望者] 观望者区域艺术
shrub.watcherregionart-description|为观望者区域添加区域艺术图。
E2312.slugnpcscavologic-name|[无障碍] SlugNPC 声望系统
E2312.slugnpcscavologic-description|无描述。
olaycolay.jukeboxanywhere-name|[体验优化] 随处点唱机
olaycolay.jukeboxanywhere-description|在游戏过程中使用远征点唱机！
firmly-grasp-it-name|[游戏机制] 牢牢抓住它
firmly-grasp-it-description|让动物能够攀爬插在墙上的长矛。帮助你的朋友和敌人！<LINE><LINE>代码位于 github.com/Dual-Iron/firmly-grasp-it
sabreml.musicannouncements-name|[体验优化] 音乐提示
sabreml.musicannouncements-description|当音乐开始播放时，添加一个显示曲目名称的小弹出窗口。
randomspace-name|[区域] 混乱地带
randomspace-description|埋在垃圾堆中一个不起眼的小山丘下，有一个通往……等等等等的门户。<LINE>每个房间都不同，有很多可看的东西！增加了超过500个不同屏幕可供漫无目的地探索。
magica.nomenuinput-name|[工具,无障碍] 失焦时无菜单输入
magica.nomenuinput-description|一个钩子，当游戏未获得焦点时，阻止雨世界在菜单中接受输入。
rainstormpilgrim.funnierspitterspiders-name|[生物] 毒液喷射蛛
rainstormpilgrim.funnierspitterspiders-description|在悬桥和腿部区域玩得很开心之后，我有了这个想法：为什么不让喷射蛛变得更危险呢？
sequoia.parascutigera-creature-name|[生物] 副蜈蚣
sequoia.parascutigera-creature-description|添加一种新的蜈蚣变种：副蜈蚣。（需要 Fisobs、The M4rbleLous Entity Pack）。非常感谢 M4rbleL1ne 分享了蜈蚣代码并排除了一些问题。
biteflies-name|[生物] 咬人蝇
biteflies-description|蝙蝠蝇现在在被抓住时有随机几率咬玩家。
lb-fgf-m4r-ik.custom-centis-name|[工具,生物] 自定义蜈蚣制作器
lb-fgf-m4r-ik.custom-centis-description|一个工具，让你无需代码即可制作自己的蜈蚣变种。
JautiAGurgan-name|[生物] 恐怖生物
JautiAGurgan-description|添加了不太著名的 Jautia，一种作为蜈蚣的神秘雨世界生物，以及 Gurgan 蜥蜴。
The_Similar-name|[Slugcat] Similar
The_Similar-description|在自然选择中进化的蛞蝓猫，善于伪装，能够灵活地隐匿在环境中，为了寻求舒适的庇护所而踏上旅途。
willowwisp.bellyplus-name|[游戏机制] 胖世界
willowwisp.bellyplus-description|将圆润感洒入雨世界，包括你和周围的生物。<LINE>如果你有任何问题、错误或模组不兼容，请在Discord上联系我 willowwisp89！！
rotwall.morepearls-name|[物品] 腐烂的珍珠
rotwall.morepearls-description|在你的旅程中增加一些新的珍珠可供发现。目前包含10颗。
nope.show.me.my.echoes-name|[无障碍] 显示我的回响
nope.show.me.my.echoes-description|此模组在收藏品追踪器中显示你遇到过回响的区域。<LINE>从混音菜单中，你可以配置是否启用模组、是否显示已准备的回响，以及是否显示从未见过的回响。
nope.collectibles.on.char.select-name|[体验优化] 选择界面显示收藏品
nope.collectibles.on.char.select-description|此模组使令牌（或收藏品）出现在角色选择菜单上。<LINE>这是线程化的，不应影响性能，但可以从混音页面动态开关和/或使用按键绑定。<LINE>此模组需要启用雨世界混音。它与 ImprovedCollectiblesTracker 兼容。
gelbi.faster-world-name|[体验优化] 更快的世界
gelbi.faster-world-description|包含一些优化的傻乎乎的模组。
franklygd.extendedcollectiblestracker.fixed-name|[无障碍] 扩展收藏品追踪器（修复版）
franklygd.extendedcollectiblestracker.fixed-description|剩余的东西在哪里？
ModlistUploader-name|[工具] 模组列表上传器
ModlistUploader-description|在混音菜单中添加一个按钮，用于将当前模组列表作为合集上传到Steam创意工坊。
darkninja.ModInfoButton-name|[工具,外观] 模组信息按钮
darkninja.ModInfoButton-description|在混音菜单中添加一个显示各种模组信息的按钮。
kingmaxthe2.oegate-name|[工具] 外层空间业力门解锁（适用于SlugBase蛞蝓猫）
kingmaxthe2.oegate-description|在你的json文件中使用 'oegate/unlock'。
customslugcatutils-name|[工具,依赖项] Custom Slugcat Utils
customslugcatutils-description|一个工具模组，旨在帮助模组制作者开发自定义蛞蝓猫模组。
alduris.betterworkshop-name|[工具] 更好的创意工坊上传器
alduris.betterworkshop-description|通过添加额外检查以及上传到特定创意工坊ID的能力，改进内置的创意工坊上传器。
magica.hookinglibrary-name|[工具,依赖项] 钩子库
magica.hookinglibrary-description|用于 magica 模组的库。
casheww.physical_object_tools-name|[工具,依赖项] 物理对象工具
casheww.physical_object_tools-description|为 PhysicalObjects 的精灵和身体块、瓷砖网格等添加用于标记索引的可视调试标记。由 Dual 贡献。
screen-lady.diversebehavior-name|[无障碍] 多样化行为
screen-lady.diversebehavior-description|改变游戏中几乎每个实体的行为，以影响生态系统中的互动并打乱食物链。
drop-button-name|[无障碍] 丢弃按钮
drop-button-description|添加一个专用按钮来礼貌地投掷或放下持有的物品。<LINE>分配此按钮将禁用原版丢弃键。
dressmyslugcat-name|[DMS] Dress My Slugcat
dressmyslugcat-description|装扮我的蛞蝓猫。<LINE>注意：如果“Get Fancy”按钮没有出现在主菜单上，请禁用模组、重启游戏，然后重新启用模组。
moyushuang-name|[DMS] 魔芋爽
moyushuang-description|哇哇，请把它变成魔芋零食作为礼物送给蜥蜴，啊哇。
ddemile.fake_achievements-name|[体验优化] 虚假成就
ddemile.fake_achievements-description|一个显示类似Steam成就的模组。
xuanzebufeng.moyushuang-name|[物品] 魔芋爽
xuanzebufeng.moyushuang-description|神秘的东方美食。
sanygame.immersivemusic-name|[体验优化] 沉浸式音乐
sanygame.immersivemusic-description|使环境影响音乐。
xuanzebufeng.translatetools-name|[翻译,工具] 翻译工具
xuanzebufeng.translatetools-description|一个可以收集屏幕上所有未翻译文本并输出文本的模组。
harvie.watcherdevtoolsfix-name|[工具,观望者] 观望者开发者工具修复
harvie.watcherdevtoolsfix-description|修复开发者工具对象页面错误。
C.D.T-name|[翻译,工具] 中文开发者工具
C.D.T-description|仅生成中文本地化。
lb-fgf-m4r-ik.rw-trycatch-name|[工具] 异常捕获
lb-fgf-m4r-ik.rw-trycatch-description|在 RainWorld.Update 周围添加 try catch 块，以便将更多异常记录到 exceptionLog.txt 文件中。在雨世界主文件夹中添加一个 logToBep.txt 文件，以便也将异常记录到 logOutput.log 中。对调试有用，但可能略微影响性能。
Jimarad.WhatsInMyPocket-name|[外观] 我口袋里有什么？
Jimarad.WhatsInMyPocket-description|显示持有物品的图标。
Y0z64.strugglemod-name|[游戏机制] 挣扎模组
Y0z64.strugglemod-description|允许通过狂按输入来挣脱生物的抓取。<LINE>HPbar的挣扎模组的替代方案，不含额外机制。
vendily.deathplayerghosts-name|[体验优化] 死亡数即玩家鬼魂数
vendily.deathplayerghosts-description|让你完全控制结局中理想的玩家鬼魂数量。<LINE>旨在使鬼魂数量等于存档上的死亡次数。<LINE>然后我就被范围蔓延击中了。
twofour2.rainReloader-name|[工具] 雨世界热重载
twofour2.rainReloader-description|为雨世界模组开发者提供代码热重载。RainReloader 允许你在不重启游戏的情况下构建和测试新代码。<LINE>请阅读 GitHub 页面了解设置此模组的说明。<LINE><LINE>https://github.com/Twofour2/RainReloader
invadd-name|[无障碍] 在战役选择中添加Inv
invadd-description|将Inv的战役永久添加到战役选择界面，这样你就不需要输入密码了。
pjb3005.sharpener-name|[体验优化] 锐化器
pjb3005.sharpener-description|为雨世界提供更好的上采样和分辨率控制。<LINE><LINE>跨性别权利。
Aureuix.SquidHand-name|[游戏机制] 单手抓握蝉乌贼！
Aureuix.SquidHand-description|单手抓握蝉乌贼！
entomatadas.candylizards-name|[生物] 糖果蜥蜴
entomatadas.candylizards-description|添加一种脆弱、胆小的蜥蜴变种，甚至会被蛞蝓猫捕食！
NoirCat.RideableLizards-name|[游戏机制] 可骑乘的蜥蜴
NoirCat.RideableLizards-description|抓住你驯服的蜥蜴，骑上它们一起前进！
useless.fallthroughmap-name|[游戏机制] 逻辑性深渊
useless.fallthroughmap-description|在玩雨世界时，你是否曾觉得死亡深渊有时不合逻辑？<LINE>例如，你可以在地图上清楚地看到下方房间就在你所在房间的下面，甚至看起来如果你从这个房间掉下去并不会致命。<LINE>有了这个模组，你现在掉入死亡深渊后可以掉到下方的房间。<LINE><LINE>是的，这也使得悬崖飞跃成为可能。<LINE><LINE>如果你发现任何BUG或有任何建议，请随时在Discord上给我发消息：uzelezz<LINE>（此模组不更改任何区域，纯基于代码。）<LINE><LINE>（后续可能会添加掉入其他区域的可能性，以及修改生物传送后的初始速度的能力。）
tsunochizu.precipiceleap-name|[区域] 悬崖飞跃
tsunochizu.precipiceleap-description|一个允许你从悬崖飞跃到下方海岸线水域的模组。
NoirCatto.BeastMasterPupExtras-name|[工具] 兽王幼崽扩展
NoirCatto.BeastMasterPupExtras-description|对SlugNPC（蛞蝓幼崽）的一些让我烦恼的修复。
fyre.BeastMaster-name|[工具] 兽王
fyre.BeastMaster-description|允许你在所有游戏类型（包括故事模式和竞技场）中随意生成各种生物和物品。
henpemaz_mapwarp-name|[工具] 地图传送
henpemaz_mapwarp-description|允许你通过开发者工具地图点击房间进行传送。
slime-cubed.devconsole-name|[工具] 开发者控制台
slime-cubed.devconsole-description|为雨世界添加了一个受Source引擎启发的可扩展游戏内命令控制台。<LINE>在GitHub上查找完整命令列表：https://github.com/SlimeCubed/DevConsole/wiki/Built-In-Commands
maxi-mol.mousedrag-name|[工具] 鼠标拖拽
maxi-mol.mousedrag-description|允许在沙盒模式之外使用鼠标编辑游戏内对象的工具。
emgtx-name|[工具,依赖项] EmgTx
emgtx-description|注意：此模组不提供任何游戏玩法，而是提供许多功能的库。<LINE>此模组仍处于测试阶段，文档尚未完成。如果你想使用它，请记住这一点，并关注模组更新。<LINE>GitHub：https://github.com/HarvieSorroway/EmgTx
Quaeledy.hunterexpansion-name|[战役] 猎手扩展
Quaeledy.hunterexpansion-description|为猎手添加了六个梦境场景和一个新结局（含两种变体）。实现了NSH的基本行为及其超级结构的部分内容。NSH的对话已添加到[收藏]部分。<LINE>我将此作品献给我的朋友们。此模组非官方设定。我为我那些想在游戏中看到NSH的朋友们制作了它。希望你喜欢这个模组。
nacu.ultrakilltitles-name|[外观] ULTRAKILL风格区域标题
nacu.ultrakilltitles-description|以ULTRAKILL关卡名称弹出风格显示区域和子区域名称。
xuanzebufeng.USRTMultiLanguageFix-name|[翻译] ULTRAKILL风格区域标题调整与翻译
xuanzebufeng.USRTMultiLanguageFix-description|实际上，这个模组可以在没有ULTRAKILL风格区域标题的情况下运行。LOL
warpmenumultilanguagefix-name|[翻译] 传送菜单多语言修复
warpmenumultilanguagefix-description|使传送菜单支持多语言。
warp-name|[工具] 传送菜单
warp-description|一个通过暂停菜单快速传送到新房间和区域的工具。
alphappy.expedite-name|[体验优化] 快速跳过
alphappy.expedite-description|Expedite 允许你始终立即跳过休眠/死亡界面上的业力阶梯动画。虽然是为远征设计的（该模式下动画永远无法跳过），但它在故事模式中同样有效，在故事模式中如果刚刚获得通行证，动画也是不可跳过的。
expandedlegsolorace-name|[区域] 扩展支架
expandedlegsolorace-description|对支架区域和悬桥的小型扩展，为路线规划增加一些多样性。
revivify-name|[游戏机制] 复苏
